filename,actionFlag,nullHyperlinkFlag,suspecLinkFlag,outLinkFlag,zeroLinkFlag,outCssFlag
http://chinaacc.com,0,0,0,0.0415,0,0
http://www.icbc.com.cn,0,0,0,0,1,0
http://uuu9.com,0,0.0016,0.0048,0.1356,0,0
http://tuniu.com,0,0.0132,0,0.0245,0,0
http://china.nba.com,0,0.015,0,0.5935,0,0
http://99166.com,0,0.0084,0.0232,0.0989,0,0
http://duanmeiwen.com,0,0,0,0.0106,0,0
http://cn.bing.com,0,0.0323,0,0.5806,0,0
http://amazon.cn,0,0,0.0075,0.1493,0,1
http://tech.ifeng.com,0,0,0,0.2465,0,0
http://yingjiesheng.com,0,0.0008,0.0047,0.0267,0,0
http://5173.com,0,0.2216,0.0324,0.1243,0,1
http://alibaba.com,0,0.0268,0.0179,0.2143,0,0
http://runoob.com,1,0.0165,0,0,0,0
http://sanguosha.com,0,0.0922,0.0184,0.1382,0,0
http://52pk.com,0,0.0132,0.0237,0.0908,0,0
http://fashion.ifeng.com,0,0.012,0,0,0,0
http://movie.mtime.com,0,0.0992,0,0,0,0
http://tencent.com,0,0,0,0,1,0
http://51cto.com,0,0.0559,0.2148,0.0537,0,0
http://51zxw.net,1,0.0299,0.0212,0.0405,0,0
http://www.huanqiu.com,0,0,0,0.0257,0,0
http://3d66.com,0,0.1836,0.0015,0.0262,0,0
http://dzwww.com,0,0.0115,0.0069,0.2676,0,0
http://gome.com.cn,0,0,0.0056,0.067,0,0
http://meitu.com,0,0.1538,0,0.0879,0,0
http://360-bo.com,0,0.0769,0.0063,0.0895,0,0
http://huatu.com,0,0,0.0352,0.1262,0,0
http://17k.com,0,0.0292,0,0.0251,0,0
http://hp.com,0,0,0.003,0.0973,0,0
http://114la.com,1,0.0159,0.0264,0.5509,0,0
http://thepaper.cn,1,0.0292,0,0.0117,0,0
http://nike.com,0,0.0034,0,0.0201,0,0
http://wps.cn,0,0.0105,0,0.3368,0,0
http://news.4399.com,1,0.0025,0.0302,0.1935,0,1
http://99114.com,0,0.0123,0,0.0062,0,0
http://co188.com,0,0,0,0.1765,0,0
