filename,actionFlag,nullHyperlinkFlag,suspecLinkFlag,outLinkFlag,zeroLinkFlag,outCssFlag
240fb91fd2b93e63ef79fccdcac02626,0,0.125,0.75,0,0,0
91915f4c8f375f0e829004789b95b411,0,0,0,0,0,0
6bedc8b0924d5ee8f5974c5618c3712f,0,0,0.0455,0.2727,0,0
1f234ea9d22cb3c7e90e6effabfe6365,0,0,0,0.0017,0,0
f41e55c1dcbade2a3c212bfa7eb0a6d2,1,0.24,0.55,0.03,0,1
1d022d4d1fbe290289a6739c9a2c0e74,0,0.0138,0.0552,0,0,0
2739bb37fde43f715fc9a26aee6d7186,0,0.0923,0,0,0,0
f72190a03264e4aefb322d2ad795ebbf,0,0,0.0323,0.6774,0,0
f9763f15284da0c5c0aac586dff4eb00,0,0,0,0,1,0
ebe9801e104b262666716439c668793b,0,0,0,0.3529,0,0
9d5cda55a2cd10fb389038d4cffce237,0,0.0151,0,0.0679,0,1
6564a7e8f6f74d51d49aa143f1e7f7a2,0,0,0,0,1,0
f790999d7b8b50b6b163992938ef728c,0,0,0,0,0,0
79879ec3a984bc86047eccb8ee60a62d,0,0,0,0.0962,0,0
11e49496b23c5a389a4fe88da4991b59,1,0.0024,0.0073,0.1432,0,0
03d4c5dfba01417819deef22ba94db78,0,0,0.8493,0.0411,0,0
70719516c04ea36bb15838fcc455450b,0,0,0,0,1,0
80886a1ed0103e1265141bf721e7f33e,1,0.047,0,0,0,0
d5bf4faa08107db8e5f813ef5da25a26,0,0,0,0.8333,0,1
09045a2904e95e818cd48d8a140096a0,0,0,0,0,1,0
b48db9b1123e49b4bb1cce40bc368765,0,0,0,0,0,0
f21e7ee9299415ce51b359c16989729b,0,0,0,0.0312,0,0
36dd1f143e4c49e274cd16592ac24b15,0,0.0174,0,0.0087,0,0
851543ddd4eec04002f198352e6013d8,0,0,0.5,0,0,0
530a438a77370db9964de29ffdbed29f,0,0,0,0.0278,0,0
50844f45ffcfb5ec363950e6dca974a0,0,0,0,0.1071,0,0
2b501b2aa403de683c7e89218a3f7dd6,0,0,0,0,1,0
41900e5c5688c6398ea1798c4cff1e7c,0,0,0,0,0,0
497de67e79d879e6792f75f44a8d3e1f,0,0.1491,0.0186,0.0186,0,0
beb9afadc7bd33ab70e364dadfd73559,0,0,0.0478,0.0068,0,0
437d967b0c2c4c84b41fa25e9715e6cb,0,0,0,0.3333,0,0
00a35ee97d30d25fe381bee2222d5f1d,1,0.8551,0,0.0725,0,0
2c6a9fa0c43863d8aeed2f89c5984067,0,0.0172,0.069,0.1552,0,0
c0baa058473b24ae0e61bcf3557afca5,1,0.0123,0.0123,0.321,0,0
babc05b227ab7e59a408d0953e1800e1,1,0.0902,0.0188,0.1241,0,0
1882cad0c90ddb294ea3f1ed312a106c,0,0.0025,0.0126,0.0051,0,0
28e3171516c010a9d0fd8e5b13f776e8,0,0.0278,0,0.0069,0,0
ac3ceec8873d98c70f82b6957e4ad13e,1,0.0935,0.0072,0.0216,0,0
ef17a3e3c39ea22b1dbc7b5b2c58b777,0,0,0.0152,0.1212,0,0
4f691cfcc1a87e71ea583d60e0619332,0,0.0785,0,0.0538,0,0
5309b53a0e6b97ddd94e356269df1261,0,0.1328,0.0078,0.0156,0,0
8c1bcbea12d1906b2f58aa7bc69c1a9b,0,0.0139,0.1944,0.5278,0,0
0629a2756fba37c419df011148a9475c,0,0,0.4,0,0,1
ee8783e6cb1ce529f3465e4f511e134f,0,0.0672,0.0026,0.0026,0,1
c38bf82876aba6105d0f2c6b8577e72b,0,0,0,0,0,0
64ef4ef0af409213c9341634094e8aac,1,0.0909,0,0,0,0
c744e17548dd3ca00b796b68693d4682,0,0.0061,0.4724,0.0307,0,0
9d1a3a04eadefbd568fb8c1f8d972400,0,0,0,1,0,0
3160fc639c4047e8dd0067f9d6a66b9f,0,0.0833,0.8333,0,0,0
